"season","season_type","week","poll","rank","teamId","school","conference","first_place_votes","points"
1990,"regular",12,"AP Top 25",1,87,"Notre Dame","FBS Independents",NA,NA
1990,"regular",12,"AP Top 25",2,38,"Colorado","Big 8",NA,NA
1990,"regular",12,"AP Top 25",3,2390,"Miami","FBS Independents",NA,NA
1990,"regular",12,"AP Top 25",4,59,"Georgia Tech","ACC",NA,NA
1990,"regular",12,"AP Top 25",5,252,"BYU","Western Athletic",NA,NA
1990,"regular",12,"AP Top 25",6,57,"Florida","SEC",NA,NA
1990,"regular",12,"AP Top 25",7,251,"Texas","Southwest",NA,NA
1990,"regular",12,"AP Top 25",8,258,"Virginia","ACC",NA,NA
1990,"regular",12,"AP Top 25",9,52,"Florida State","FBS Independents",NA,NA
1990,"regular",12,"AP Top 25",10,264,"Washington","Pac-10",NA,NA
1990,"regular",12,"AP Top 25",11,158,"Nebraska","Big 8",NA,NA
1990,"regular",12,"AP Top 25",12,248,"Houston","Southwest",NA,NA
1990,"regular",12,"AP Top 25",13,2294,"Iowa","Big Ten",NA,NA
1990,"regular",12,"AP Top 25",14,2633,"Tennessee","SEC",NA,NA
1990,"regular",12,"AP Top 25",15,145,"Ole Miss","SEC",NA,NA
1990,"regular",12,"AP Top 25",16,130,"Michigan","Big Ten",NA,NA
1990,"regular",12,"AP Top 25",17,228,"Clemson","ACC",NA,NA
1990,"regular",12,"AP Top 25",18,213,"Penn State","FBS Independents",NA,NA
1990,"regular",12,"AP Top 25",19,30,"USC","Pac-10",NA,NA
1990,"regular",12,"AP Top 25",20,97,"Louisville","FBS Independents",NA,NA
1990,"regular",12,"AP Top 25",21,194,"Ohio State","Big Ten",NA,NA
1990,"regular",12,"AP Top 25",22,356,"Illinois","Big Ten",NA,NA
1990,"regular",12,"AP Top 25",23,127,"Michigan State","Big Ten",NA,NA
1990,"regular",12,"AP Top 25",24,2,"Auburn","SEC",NA,NA
1990,"regular",12,"AP Top 25",25,2572,"Southern Miss","FBS Independents",NA,NA
1990,"regular",13,"AP Top 25",1,38,"Colorado","Big 8",NA,NA
1990,"regular",13,"AP Top 25",2,2390,"Miami","FBS Independents",NA,NA
1990,"regular",13,"AP Top 25",3,59,"Georgia Tech","ACC",NA,NA
1990,"regular",13,"AP Top 25",4,252,"BYU","Western Athletic",NA,NA
1990,"regular",13,"AP Top 25",5,57,"Florida","SEC",NA,NA
1990,"regular",13,"AP Top 25",6,251,"Texas","Southwest",NA,NA
1990,"regular",13,"AP Top 25",7,87,"Notre Dame","FBS Independents",NA,NA
1990,"regular",13,"AP Top 25",8,52,"Florida State","FBS Independents",NA,NA
1990,"regular",13,"AP Top 25",9,264,"Washington","Pac-10",NA,NA
1990,"regular",13,"AP Top 25",10,158,"Nebraska","Big 8",NA,NA
1990,"regular",13,"AP Top 25",11,213,"Penn State","FBS Independents",NA,NA
1990,"regular",13,"AP Top 25",12,248,"Houston","Southwest",NA,NA
1990,"regular",13,"AP Top 25",13,2294,"Iowa","Big Ten",NA,NA
1990,"regular",13,"AP Top 25",14,2633,"Tennessee","SEC",NA,NA
1990,"regular",13,"AP Top 25",15,130,"Michigan","Big Ten",NA,NA
1990,"regular",13,"AP Top 25",16,228,"Clemson","ACC",NA,NA
1990,"regular",13,"AP Top 25",17,258,"Virginia","ACC",NA,NA
1990,"regular",13,"AP Top 25",18,30,"USC","Pac-10",NA,NA
1990,"regular",13,"AP Top 25",19,194,"Ohio State","Big Ten",NA,NA
1990,"regular",13,"AP Top 25",20,97,"Louisville","FBS Independents",NA,NA
1990,"regular",13,"AP Top 25",21,145,"Ole Miss","SEC",NA,NA
